Companies,Description,URL,Company Status,Founded Year,Competitors,Mosaic (Overall),Total Funding,All Investors,Country,State,City,Sector,Applications,Sub-Industry
Syndicate,"Syndicate operates as a company focused on providing scalable on-chain infrastructure in the web three technology sector. It offers application programming interfaces (APIs) and smart contracts that developers and companies can use to build web three products more efficiently. Its services include transaction handling, smart contract management, and cryptographic signing, all designed to simplify the process of creating web three applications. The company was founded in 2021 and is based in Mountain View, California.",syndicate.io,Alive / Active,2021,"Ink Finance, QANPlatform, Minteandome, ADAM Vault, Tatum, Upstream, Alchemy, Offchain Labs",656.0,27.00,"Alliance, CoinFund, Delphi Ventures, Electric Capital, IDEO CoLab, Kleiner Perkins, Nascent, Robot Ventures, A Capital Group, Aave, Acrylic, Alexis Ohanian, Alice Lloyd George, Andreessen Horowitz, Ashton Kutcher, Atelier Ventures, Biz Stone, Calvin Broadus Jr., Coinbase Ventures, Delphi Digital, Lenny Rachitsky, Matthew Ball, Packy McCormick, Protocol Labs, Ryan Hoover, Scalar Capital, Scott Belsky, Sound Ventures, TABLE Management, The Council, Thirty Five Ventures, True Ventures, Variant Fund, Weekend Fund, Ulu Ventures, Carta, Circle Ventures, Flourish Ventures, OpenSea, Uniswap Lab Ventures",United States,California,Mountain View,Internet,Internet Software & Services,Application & Data Integration
Horizen Labs,"Horizen Labs is a company that focuses on blockchain technology in the Web3 domain. The company offers protocols and tools for developing on Web3, including secure and decentralized public blockchain infrastructure. It primarily serves the blockchain technology industry. It was founded in 2019 and is based in Austin, Texas.",horizenlabs.io,Alive / Active,2019,,510.0,11.00,"Digital Currency Group, Liberty City Ventures, Artist Capital, Deribit, Deus, Kenetic Capital, LionTree Partners, Sound Ventures",United States,Texas,Austin,Internet,Internet Software & Services,Science & Engineering
Atsign,"Atsign specializes in Networking 2.0 technology within the cybersecurity and Internet of Things (IoT) sectors. The company offers a suite of tools including a unique protocol and software development kits (SDKs) to facilitate the creation of secure, decentralized networking solutions. Atsign's technology is designed to simplify security and data control for businesses and technology leaders, integrating these elements from the onset of product or solution design. It was founded in 2019 and is based in San Jose, California.",atsign.com,Alive / Active,2019,"Passbolt, Crypto Quantique, Staex, Lastline, Trinity Networks, ARIA Cybersecurity Solutions",558.0,11.00,Kirk Brown,United States,California,San Jose,Internet,Internet Software & Services,Data & Document Management
Handshake,"Handshake develops a decentralized, permission-free naming protocol. It enables one to validate and be in charge of managing the root domain name system of the internet (DNS) naming zone, with the goal of creating an alternative to existing certificate authorities and naming systems. It utilizes a coin system for name registration and allows users to transfer, register, and update internet names. It was founded in 2018 and is based in San Francisco, California.",handshake.org,Alive / Active,2018,,201.0,10.20,"Hashed, 0 Ventures, Andreessen Horowitz, Draper Associates, Founders Fund, Greylock Partners, Polychain Capital, Sequoia Capital",United States,California,San Francisco,Internet,Internet Software & Services,Application & Data Integration
Subspace,"Subspace offers a blockchain solution for cryptocurrency creators. It allows users to participate in consensus and serves as an infrastructure layer for the entire Web3 ecosystem. It stores data such as digital signatures, scripts, and other client documents. The company was founded in 2018 and is based in Palo Alto, California.",subspace.network,Alive / Active,2018,"Obol, StakeWise, Sigle, SKALE Labs, Orbs",429.0,37.63,"Ceras Ventures, National Science Foundation, Cabin VC, Candaq, ConsenSys Mesh, Dealean Capital, Gate Labs, Hypersphere Ventures, IOSG, Krypital Group, NGC, OKX, Republic Labs, Stratos, Alameda Research, Alumni Ventures, Coinbase Ventures, Crypto.com, Eniac Ventures, GSR Ventures, KR1, Pantera Capital",United States,California,Palo Alto,Internet,Internet Software & Services,Data Storage
ArDrive,"ArDrive specializes in permanent file storage solutions within the web3 domain. The company offers a pay-once, store-forever service that enables users to manage and secure their data indefinitely without recurring subscription fees. ArDrive's platform is designed to cater to individuals and businesses seeking reliable and decentralized data storage options. It was founded in 2020 and is based in Clifton, New Jersey.",ardrive.io,Alive / Active,2020,"Vault, Backblaze, Hornetdrive, CopyForward, IMMUDAT, Kyrt, Dcent, Filecamp, MediaGraph",379.0,18.80,"SevenX Ventures, ArkStream Capital, Arweave, Blockchain Capital, Cipholio, Compute Ventures, Digital Renaissance, Foresight Ventures, Hypersphere Ventures, LongHash Ventures, Momentum 6, OFR Fund, Sino Global Capital",United States,New Jersey,Clifton,Internet,Internet Software & Services,Data Storage
Stellate,"Stellate is a company focused on GraphQL Edge Caching in the technology sector. The company offers services that reduce origin traffic and boost performance by caching GraphQL queries, provide real-time observability for GraphQL APIs usage, performance and errors, and protect GraphQL APIs from scrapers, traffic spikes, and broken SLA terms. Stellate primarily serves the e-commerce and news/media industries. Stellate was formerly known as GraphCDN. It was founded in 2020 and is based in Middletown, Delaware.",stellate.co,Alive / Active,2020,"SigScalr, Helicone, Hasura, WineSOFT, ERA",558.0,30.00,"BOLDstart Ventures, Tiger Global Management",United States,Delaware,Middletown,Internet,Internet Software & Services,Application & Data Integration
Reach,"Reach operates as a blockchain development platform. The company offers a platform that simplifies the process of building blockchain applications such as non-fungible tokens (NFTs), decentralized finance (DeFi), and gaming decentralized application (DApp) projects. It primarily serves the blockchain community, including developers and businesses. It was founded in 2019 and is based in Boston, Massachusetts.",reach.sh,Alive / Active,2019,"Fractal, Velas, Mintplex, Center, Abridged",337.0,12.00,Creative Destruction Lab,United States,Massachusetts,Boston,Internet,Internet Software & Services,Application & Data Integration
Tenderly,"Tenderly delivers a blockchain development platform. The company offers smart contract infrastructure, monitoring, integration, and operating smart contracts. It also combines debugging tools with observability and infrastructure building blocks. It mainly serves World Wide Web Generation three (Web3) developers. The company was founded in 2018 and is based in San Francisco, California.",tenderly.co,Alive / Active,2018,"QuickNode, Nethermind, Tatum, Zoltar Labs, BlockSec, Certora, OnFinality, SolidProof",644.0,61.90,"Point Nine Capital, Accel, Guillermo Rauch, Mirko Novakovic, Nicolas Dessaigne, Version One Ventures, helloworld.vc, Abstract Ventures, Coinbase Ventures, Daedalus, Eric Ries, Jinglan Wang, Spark Capital, Tihomir Bajic, Uniswap",United States,California,San Francisco,Internet,Internet Software & Services,Application & Data Integration
Secret Network,"Secret Network serves as a blockchain with privacy-preserving smart contracts. Applications built on the secret network utilize encrypted data without exposing it to anyone, not even the nodes in the network. The company was founded in 2017 and is based in Chicago, Illinois.",scrt.network,Alive / Active,2017,"Demox Labs, Iron Fish, IntegriTEE, Phala Network, Beam, Panther Protocol, Quras",442.0,11.50,"AG Build, Arrington Capital, BlockTower, Hashed, Skynet Trading, Spartan Group",United States,Illinois,Chicago,Internet,Internet Software & Services,Internet Service Provider
1Kosmos,"1Kosmos is a company that focuses on blockchain-powered identity and authentication in the technology sector. The company offers services such as identity verification, passwordless authentication, and document verification, all aimed at enhancing security for employees, customers, and citizens. It primarily serves sectors such as financial services, government, healthcare, insurance, and manufacturing. It was founded in 2018 and is based in Somerset, New Jersey.",1kosmos.com,Alive / Active,2018,"HYPR, IDnow, Beyond Identity, Haventec, Transmit Security, Veridium, Blinking, PrimeKey, Ping Identity",633.0,15.00,"ForgePoint Capital, NAVE, Gula Tech Adventures, The Banking Tech Awards",United States,New Jersey,Somerset,Internet,Internet Software & Services,Monitoring & Security
QuickNode,"QuickNode specializes in blockchain infrastructure within the technology sector, offering a platform that powers secure, decentralized innovation. The company provides tools and resources, including real-time data delivery, custom datasets, event alerts, and comprehensive multi-chain capabilities. Its services cater to various sectors such as decentralized finance, gaming, digital identity, healthcare, public records, and voting systems. It was founded in 2017 and is based in Hallandale, Florida.",quicknode.com,Alive / Active,2017,"Validation Cloud, Grove, Spyce5, Blockdaemon, Alchemy, Figment, Validation Cloud, GetBlock",805.0,100.85,"Core, Garage Syndicate, Tribe Capital, Y Combinator, Arrington Capital, Crossbeam Venture Partners, SB Opportunity Fund, Seven Seven Six, Anthony Pompliano, Soma Capital, Tiger Global Management, 10T Fund, Protocol Labs, QED Investors, LG Technology Ventures",United States,Florida,Hallandale,Internet,Internet Software & Services,Application & Data Integration
TripleBlind,"TripleBlind is a software company that specializes in privacy and security solutions. The company offers a Privacy Suite that facilitates HIPAA compliant sharing of protected health data and a SecuriKey module that addresses account takeover attacks. The primary sectors served include healthcare for the Privacy Suite and general cybersecurity for SecuriKey. It was founded in 2019 and is based in Kansas City, Missouri.",tripleblind.com,Alive / Active,2019,"SecureCo, Duality, Virtru, Enveil, Oasis Protocol Foundation, Baffle, Edgeless Systems, Apheris, Sympatic, Omnisient, Duality Technologies, Fortanix, Owkin, Inpher, DuoKey, Helios Data, Crypteron",489.0,32.20,"Accenture Ventures, Alumni Ventures, Anorak Ventures, Clocktower Technology Ventures, Dolby Family Ventures, Flyover Capital, KCRise Fund, Manresa Ventures, NextGen Venture Partners, Okta Ventures, Operator Partners, Parity Responsible Technology Fund, Quiet Capital, Wavemaker Three-Sixty Health, Mayo Clinic, Basecamp Fund, General Catalyst",United States,Missouri,Kansas City,Internet,Internet Software & Services,Monitoring & Security
Set,"Set delivers a portfolio management tool. It helps in bundling crypto assets together and sets crypto strategies. The company develops solutions to create cryptocurrency baskets, baskets of non-fungible tokens (NFTs), baskets of on-chain securities, and more. It offers products that include token sets, a smart contract-based asset management platform utilizing ethereum technology. It was founded in 2017 and is based in San Francisco, California.",tokensets.com,Alive / Active,2017,"Velvet Capital, Magna, Domani Protocol, StakerDAO, Amun, Pulsar Finance",378.0,14.00,"6th Man Ventures, Craft Ventures, Haystack Fund, Kindred Ventures, Scott Belsky, Social Capital, Threshold Ventures, VY Capital, Alliance, Hashed, 1kx, Coinbase Ventures, DeFiance Capital, Mechanism Capital, ParaFi Capital, Spartan Group",United States,California,San Francisco,Internet,E-Commerce,Marketplace
NebulaGraph,"NebulaGraph focuses on providing enterprise-level open-source distributed graph database solutions. The company's main service includes offering a graph database solution capable of handling large datasets with billions of nodes and trillions of edges while maintaining millisecond-level query latency. The company primarily sells to sectors such as financial risk control, real-time recommendation, knowledge graph, and other business scenarios. It was founded in 2018 and is based in Cupertino, California.",nebula-graph.io,Alive / Active,2018,"Stellate, Memgraph, ERA, Objectivity, Aurelius, GraphGrid, LARUS",478.0,18.00,"MPC, Redpoint Ventures China, Source Code Capital, Google for Startups Accelerator, Jeneration Capital",United States,California,Cupertino,Internet,Internet Software & Services,Database Management
Allora Labs,"Allora Labs is a company focused on developing a self-improving decentralized AI network within the artificial intelligence and blockchain sectors. The company offers a platform for collective intelligence where builders and makers collaborate to innovate in decentralized AI, featuring mechanisms for continuous learning, context-aware forecasting, and privacy protection. Allora Labs primarily serves sectors that require advanced AI applications, such as the cryptocurrency industry with its industry-leading price prediction capabilities. Allora Labs was formerly known as Upshot. It was founded in 2019 and is based in Boston, Massachusetts.",allora.network,Alive / Active,2019,"Plato Blockchain, Indexer, Parsec, Scale3 Labs, Brink, Vesto",620.0,33.51,"Blockchain Capital, CMS Holdings, CoinFund, Delphi Digital, Framework Ventures, Kain Warwick, Mechanism Capital, Ryan Selkis, Slow Ventures, Stani Kulechov, Polychain Capital, Archetype, DCF God, Delphi Ventures, ID Theory",United States,Massachusetts,Boston,Internet,Internet Software & Services,Application & Data Integration
Pinata,"Pinata develops a non-fungible, token-focused media distribution platform. It provides media infrastructure and support for non-fungible token marketplaces, metaverses, web three applications, and other cryptocurrency projects. Its platform allows users to manage, share, and monetize their media on any blockchain, such as Ethereum, Solana, Polygon, Avalanche, and Algorand. It was founded in 2018 and is based in Omaha, Nebraska.",pinata.cloud,Alive / Active,2018,"Seedify, Gigaspace, META ERA, Tokenance, THX Network, Dixel Club, Arweave, Infura, BeMedia, MintGate",662.0,21.65,"Invest Nebraska, Atelier Ventures, Greylock Partners, Offline Ventures, Alchemy Ventures, Coinbase Ventures, OpenSea, Pantera Capital, Volt Capital",United States,Nebraska,Omaha,Internet,Internet Software & Services,Multimedia & Graphics
IoTeX,"IoTeX provides a decentralized physical infrastructure network (DePIN) platform that operates in the web3 and machine economy sectors. It provides a platform for developers to connect machines with web3 infrastructure, enabling the creation of various applications such as decentralized finance, non-fungible tokens, decentralized autonomous organizations, metaverse, and machine economy applications. It primarily caters to the web3 industry. The company was founded in 2017 and is based in Menlo Park, California.",iotex.io,Alive / Active,2017,"peaq, Lava Network, Hivello, Kalima Blockchain, QuickNode, Chainlink, Nova Labs, Alchemy",818.0,160.00,"AU21, HashKey Capital, WeMade Entertainment, AG Build, DHVC, Draper Dragon, Escape Velocity, Goodwater Capital, Hanwha Group, IOSG, Jump Capital, NewBuild VC, Ribbit Capital, Samsung NEXT, Vista Lab, Xoogler Ventures, Borderless Capital, Amber Group, Foresight Ventures, Futuremoney Group, Metrics Ventures, SNZ Capital, Waterdrip Capital, ev3",United States,California,Menlo Park,Internet,Internet Software & Services,Networking & Connectivity
Strata Identity,"Strata Identity develops identity modernization and orchestration solutions for hybrid and multi-cloud services. It offers an identity fabric that helps customers secure, modernize, orchestrate, and analyze fragmented identity infrastructure. It provides Maverics, a distributed identity orchestration platform enabling organizations to adopt modern cloud identity systems without the need to rewrite applications. It was founded in 2019 and is based in Boulder, Colorado.",strata.io,Alive / Active,2019,"Cerby, IdRamp, Transmit Security, Authomize, BeyondID, Ping Identity, CyberArk, MightyID, na Inc.",763.0,40.26,"ForgeRock, Menlo Ventures, Plug and Play Ventures, Preface Ventures, ForgePoint Capital, New York Life Ventures, A'Z Angels, Innovating Capital, Mayfield, Titanium Ventures",United States,Colorado,Boulder,Internet,Internet Software & Services,Application & Data Integration
THREAD,"THREAD is a company that focuses on providing a decentralized clinical trial platform in the healthcare and life sciences industry. The company offers a platform and supporting services that enable biopharma, CROs, and life science organizations to remotely capture data from participants and sites during, in-between, and in lieu of in-clinic visits. The platform includes features such as electronic consent (eConsent), electronic clinical outcome assessment (eCOA), sensors, reminders, and telehealth virtual visits. It was founded in 2005 and is based in Tustin, California.",threadresearch.com,Alive / Active,2005,"ObvioHealth, Medidata, ClinOne, Jeeva, Pattern Health, Delve Health, Curebase, VivoSense, Medable, Castor, Evidation, Science 37, Aparito, Health Wizz, Signant Health",501.0,50.00,"JLL Partners, Water Street Healthcare Partners",United States,California,Tustin,Internet,Internet Software & Services,Science & Engineering
Textile,"Textile is a technology company focused on the exchange of information on the Internet within the open networks and blockchain sectors. The company provides tools that help developers leverage open networks and protocols for integrating with blockchains. Textile's offerings are aimed at developers looking to build on and interact with decentralized networks. It was founded in 2017 and is based in Mill Valley, California.",textile.io,Alive / Active,2017,,608.0,10.89,"BlueYard Capital, Coinbase Ventures, Collab+Currency, Henri Stern, Jesse Clayburgh, Multicoin Capital, Starchain Capital, System.One",United States,California,Mill Valley,Internet,Internet Software & Services,Application & Data Integration
3Labs,"3Labs is a Web3 studio focused on creating software for decentralized identity management and data composability within the blockchain sector. The company offers a decentralized network known as Ceramic for developers to build data-rich applications without traditional databases, a cross-chain identity standard that facilitates user-centric identity solutions. Additionally, 3Labs provides 3rd Infantry Division (3ID) Connect, an authentication system that integrates with various blockchain wallets. It was founded in 2018 and is based in Brooklyn, New York.",3boxlabs.com,Alive / Active,2018,"CySecure, Blockchain HELIX, NuID, Peer Mountain, Shyft Network, TroonDx, Anima, ONCHAINID",447.0,32.50,"CoinFund, ConsenSys Mesh, Northzone, Placeholder Capital, Venrock, Coinbase Ventures, Collaborative Fund, Dapper Labs, Digital Currency Group, Figment, Hashed, Jump Crypto, MetaCartel Ventures, Multicoin Capital, Not Boring Capital, Protocol Labs, The Fintech Fund, The Graph, Union Square Ventures, Variant Fund",United States,New York,Brooklyn,Internet,Internet Software & Services,Domain & SEO Services
Livepeer,"Livepeer is a decentralized video infrastructure network focused on live and on-demand streaming within the technology sector. The company provides a platform that enables developers to integrate live and on-demand video streaming into its applications, offering tools for transcoding video on graphics processing units for broadcasting fees and network rewards. Livepeer Studio, a part of the company, offers a full-featured video streaming platform for developers, promising significant cost savings and ease of use with its Application Programming Interfaces (APIs) and Software Development Kits (SDK). It was founded in 2017 and is based in New York, New York.",livepeer.org,Alive / Active,2017,"Theta Labs, LBRY, Dlive.tv, Verasity, Flixxo",579.0,48.00,"0 Ventures, BoxGroup, Ben Rubin, Collab+Currency, Compound, Digital Currency Group, Libertus Capital, North Island Credit Union, Northzone, Notation Capital, StakeZero, 6th Man Ventures, Animal Ventures, CoinFund, Coinbase Ventures, 1kx, Alan Howard, Tiger Global Management, Warburg Serres Investments",United States,New York,New York,Internet,Internet Software & Services,Video
Unstoppable Domains,"Unstoppable Domains operates as a company focused on Internet technology, specifically in the domain registration sector. The company offers Web3 domains that serve as cryptocurrency addresses, logins to the decentralized web, and universal usernames. These domains are designed to simplify payments and enhance privacy and control in the digital world. It was founded in 2018 and is based in Las Vegas, Nevada.",unstoppabledomains.com,Alive / Active,2018,"MoonPay, Freename, NexBloc, Civic Technologies, Donuts, Wealthcoin, Yat, Ethereum Naming Service",714.0,71.84,"Coinbase Ventures, Morningstar Ventures, Boost VC, Draper Associates, Gaingels, Alchemy Ventures, Broadhaven Capital Partners, CoinDCX Ventures, CoinGecko Ventures, Emotional Intelligence Ventures, Hard Yaka, Mayfield, OKG Ventures, Pantera Capital, Polygon DAO, Rainfall Capital, RedBeard Ventures, Spartan Group, We3, Web3 Ventures",United States,Nevada,Las Vegas,Internet,Internet Software & Services,Domain & SEO Services
Merkle Science,"Merkle Science offers predictive transaction monitoring and forensics advanced solutions in blockchain monitoring. The company provides the infrastructure to help blockchain companies, cryptocurrency exchanges, investment funds, banks, and regulators perform due diligence on the blockchain. It was founded in 2018 and is based in Manhattan, New York.",merklescience.com,Alive / Active,2018,"Chainalysis, TRM, Coinfirm, Solidus Labs, Amberdata, Scorechain, Elliptic, CipherTrace",740.0,25.55,"Ceras Ventures, Digital Currency Group, Entrepreneur First, Kenetic Capital, LuneX Ventures, SGInnovate, Tenity, Creative Destruction Lab, Lloyd's Lab, Darrow Holdings, Fenbushi Capital, Kraken Ventures, Token Bay Capital, Uncorrelated Ventures, 500 Global, Aspen Digital, BECO Capital, CoinHako, HashKey Capital, K3 Ventures, Libertus Capital, Lucy Gazmararian, Republic, Summer Capital",United States,New York,Manhattan,Internet,Internet Software & Services,Monitoring & Security
Lino,Lino uses blockchain technology to create a decentralized autonomous content economy.,lino.network,Alive / Active,2017,,230.0,20.00,"AlphaCoin Fund, Ausvic Capital, Dfund, INBlockchain, Link Capital, PreAngel, Viking Capital, ZhenFund",United States,California,Cupertino,Internet,Internet Software & Services,Content Management
Duality Technologies,"Duality Technologies focuses on secure data collaboration in the technology domain. The company offers a platform that enables organizations to collaborate and analyze data securely, without ever decrypting it. It includes services such as privacy-protected artificial intelligence development and encrypted queries on secured datasets. Primarily it sells to the financial services industry, healthcare industry, government industry, and marketing industry. The company was founded in 2016 and is based in Hoboken, New Jersey.",dualitytech.com,Alive / Active,2016,"Desilo, Sherpa.ai, Roseman Labs, USEncryption, Enveil, Vaultree, Apheris, Omnisient, Opaque, Cosmian, Bitfount, Sedicii, TripleBlind, Ydata, Inpher, bond180, HiChina Web Solutions, Lorica Cybersecurity, EAGLYS",606.0,50.05,"Team8, Hearst Ventures, Intel Capital, Euclidean Capital, LG Technology Ventures, NAventures, Plug and Play Insurtech, Defense TechConnect (DTC) Innovation Summit and Expo",United States,New Jersey,Hoboken,Internet,Internet Software & Services,Monitoring & Security
Iron Fish,"Iron Fish is a cryptocurrency platform focused on privacy and compliance within the financial technology sector. The company offers encrypted transactions using zero-knowledge proofs to ensure user privacy, along with read-only view keys for regulatory compliance. Iron Fish serves as a privacy layer for various crypto assets, enabling private transactions across its network. Iron Fish was formerly known as Beanstalk Network. It was founded in 2018 and is based in San Francisco, California.",ironfish.network,Alive / Active,2018,"Breach Insurance, Mystiko.Network, Ripple, CipherTrace, Dusk Network, Beam, ZCash, Bitcoin.com, Secret Network, Panther Protocol, Monero, Litecoin",579.0,32.38,"Dragonfly, A.Capital, Alan Howard, Andreessen Horowitz, Arrington Capital, Do Kwon, Electric Capital, Jeff Weiner, Matt Luongo, MetaStable Capital, Nathan McCauley, Sequoia Capital",United States,California,San Francisco,Internet,Internet Software & Services,Monitoring & Security
AlphaNetworks,"AlphaNetworks is an AI-powered blockchain entertainment platform that focuses on innovating media distribution and engagement. The company offers dynamic pricing for media content and a tokenized user experience, combining aspects of OTT services, video aggregators, and premium cable models to enhance recommendation and payment systems. AlphaNetworks aims to empower creators and audiences with high-quality programming and a data-driven solution that utilizes a 'Proof Of Engagement' algorithm for tracking viewership and executing direct payouts to content providers based on their viewership. It was founded in 2017 and is based in Cheyenne, Wyoming.",alphanetworks.io,Alive / Active,2017,"Hulu, Roku, Vevo, AIOZ Network",114.0,10.00,"Alphabit Fund, Shuttle Fund of Korea, Smart Contract Japan",United States,Wyoming,Cheyenne,Internet,Internet Software & Services,Advertising Network or Exchange
Nova Labs,"Nova Labs focuses on the development of connectivity solutions. The company's main offerings include  technologies and services for the Internet of things (IoT) sector, as well as mobile services that leverage decentralized wireless networks. Nova Labs primarily serves the IoT and mobile telecommunications industries. Nova Labs was formerly known as Helium. It was founded in 2013 and is based in San Francisco, California.",nova.xyz,Alive / Active,2013,"IoTeX, Actility, Notion, Expeto, Crankk, Moeco, GIANT Protocol, Atsign, KONUX, Samsara, Savi Technology, Everynet, OmniMesh Technologies, RoccStar Wireless, The Things Industries",751.0,251.00,"Alumni Ventures, Telefonica Tech Ventures, DG Ventures, FirstMark Capital, Khosla Ventures, Marc Benioff, SV Angel, Slow Ventures, Google Ventures, Munich Re Ventures, Multicoin Capital, Union Square Ventures, 10T Fund, Alameda Research Ventures, Andreessen Horowitz, Ribbit Capital, FTX Ventures, Goodyear Ventures, Tiger Global Management",United States,California,San Francisco,Internet,Internet Software & Services,Networking & Connectivity
Xage Security,"Xage Security offers a blockchain-based security solution. It provides identity and access management, zero trust remote access, dynamic data security, cybersecurity, and more. It serves energy, utilities, manufacturing, mining, transportation, and other sectors. It was formerly known as Sensify Security. The company was founded in 2017 and is based in Palo Alto, California.",xage.com,Alive / Active,2017,"Device Authority, ConductorOne, Britive, Iothic, Tempered Networks, NXM Labs, Radiflow, Uniquid, Block Armour",792.0,73.15,"Plug and Play, The Hive, March Capital, City Light, GE Ventures, NexStar Partners, Aramco Ventures, Paycheck Protection Program, Bossa Invest, Momenta, OurCrowd, PIVA, Saints Capital, Valor Equity Partners, Overture VC, SCF Partners, Chevron Technology Ventures, Clean Energy Cybersecurity Accelerator, SAIC",United States,California,Palo Alto,Internet,Internet Software & Services,Monitoring & Security
Ping Identity,"Ping Identity specializes in identity security for the digital enterprise within the cybersecurity industry. The company offers a range of services including management of customer and workforce identities, decentralized identity services, and solutions for passwordless authentication, zero trust implementation, and cloud migration. Ping Identity primarily serves sectors such as government, financial services, healthcare, retail, and media & telecommunications. It was founded in 2002 and is based in Denver, Colorado.",pingidentity.com,Alive / Active,2002,"OTPless, Curity, SPHERE, Beyond Identity, JumpCloud, Nuggets, Authlo, Auth0, MIRACL, CloudKnox, ReachFive, OneLogin, Duo Security, Bitium, Okta, Delinea, SurePassID, SailPoint, Symplified, Covisint, Solid State Operations, SSO Easy, Architecht",761.0,139.50,"Berkus Technology Ventures, Sapphire Ventures, Fidelity Ventures, General Catalyst, Threshold Ventures, Hercules Capital, Appian Ventures, Innovent, SVB Financial Group, Triangle Peak Partners, Volition Capital, DFJ Growth Fund, W Capital Management, KKR, Ten Eleven Ventures, Vista Equity Partners, Thoma Bravo",United States,Colorado,Denver,Internet,Internet Software & Services,Monitoring & Security
Via Science,"Via Science specializes in artificial intelligence (AI) and web3 technologies within the data privacy and analysis sector. The company offers a web3 platform that facilitates data verification, automated ingestion of decentralized data sources, and privacy-preserving analysis, without compromising the confidentiality of the data. Via Science primarily serves sectors such as energy management, cybersecurity, and environmental monitoring. It was founded in 2016 and is based in Somerville, Massachusetts.",solvewithvia.com,Alive / Active,2016,,626.0,23.84,"TEPCO Renewable Power, Plug and Play, Westly Group, Paycheck Protection Program, Prefix Capital, AWS Sustainable Cities Program, U.S. Department of Energy",United States,Massachusetts,Somerville,Internet,Internet Software & Services,Monitoring & Security
Chainalysis,"Chainalysis is a blockchain data platform that operates in the cryptocurrency sector, providing insights and analytics to support various industries. The company offers solutions for crypto investigations, regulatory compliance, and market intelligence, enabling businesses, financial institutions, and government agencies to engage with digital assets securely and effectively. Chainalysis primarily serves law enforcement agencies, financial institutions, and regulatory bodies seeking to understand and leverage blockchain technology for security and compliance purposes. It was founded in 2014 and is based in New York, New York.",chainalysis.com,Alive / Active,2014,"Allium, Gray Wolf, Four Pillars, Ospree, Elementus, TRM, Messari, Merkle Science, Riskbloq, Coinfirm, CryptoProof, Solidus Labs, Amberdata, Nansen, AnChain.AI, Scorechain, Elliptic, CipherTrace, InnoDT, Blockdata, BlockSeer, Blockpliance, SecureDApp, Clain",848.0,536.72,"Plug and Play Japan, Plug and Play Fintech Accelerator, Barclays Accelerator, Converge, Digital Currency Group, FundersClub, Point Nine Capital, Techstars Ventures, Benchmark, Accel, MUFG Innovation Partners, Sozo Ventures, Ribbit Capital, Sound Ventures, Addition, Paradigm, TIME Ventures, 186 Ventures, 9yards capital, AIM13, Altimeter Capital, Blackstone, Coatue, Crew Capital, Dragoneer Investment Group, Durable Capital Partners, GIC, Pictet Group, SVB Capital, Sequoia Heritage, BNY Mellon, Emergence Capital, Plug and Play Crypto & Digital Assets, Haun Ventures",United States,New York,New York,Internet,Internet Software & Services,Monitoring & Security
DGraph,"DGRaph Labs operates as an open-source, low-latency database platform. It develops for real-time, low-latency, and high throughput query flow. It helps to meet the needs of small startups and large companies with data and handles terabytes of structured data running on commodity hardware with low latency for real-time user queries. The company was founded in 2016 and is based in Palo Alto, California.",dgraph.io,Alive / Active,2016,"TigerGraph, Neon, Stellate, Hasura, Neo4j, Memgraph, TerminusDB, ERA, MongoDB, DuckDB Labs",502.0,20.50,"Bain Capital Ventures, Blackbird Ventures, Mark Cummins, Mike Cannon-Brookes, AirTree Ventures, Grok Ventures, Redpoint Ventures, Abstract Ventures, Chris Riccomini, DJ Patil, Ganesh Srinivasan, Hack VC, JP Patil, Liquid 2 Ventures, Michael Callahan, Ry Walker, SaxeCap, Uncorrelated Ventures, Venrock",United States,California,Palo Alto,Internet,Internet Software & Services,Database Management
Blockdaemon,"Blockdaemon is a company focused on providing blockchain infrastructure solutions within the blockchain economy. Its main offerings include secure wallet services, comprehensive node management, and crypto staking platforms designed for institutional-grade clients. Blockdaemon's products cater to a diverse range of sectors including financial institutions, crypto platforms, and developers seeking scalable and secure blockchain integration. Blockdaemon was formerly known as Trak. It was founded in 2017 and is based in Los Angeles, California.",blockdaemon.com,Alive / Active,2017,"QuickNode, Spyce5, Blockjoy, Blocknative, Xanpool, SettleMint, InfStones, Consensys, Alchemy, Figment, Bison Trails, Staked, Bloq, MANTRA DAO, Blockstack, Infura, Sodot, Validation Cloud, Traent, Edgevana, Allnodes, Blocks United",758.0,401.54,"A100x, Reciprocal Ventures, Plug and Play Fintech Accelerator, BOLDstart Ventures, Comcast Ventures, Jeff Fagnan, Liquid 2 Ventures, MState, Meagan Jones, Plug and Play Ventures, Sam Lessin, Lerer Hippeau, Blockchain, CoinShares, Fenbushi Capital, HashKey Capital, BlockFi, Blockchain Capital, Borderless Capital, CoinFund, Goldman Sachs, Greenspring Associates, Hard Yaka, Heavybit, Illuminate Financial Management, Kenetic Capital, Uphold, Voyager Digital, Warburg Serres Investments, Kraken Ventures, Matrix Capital Management, Morgan Creek Digital, Sapphire Ventures, SoftBank, J.P. Morgan Chase, Tiger Global Management, Stepstone Group, Citi Ventures, Invicta Growth, Salesforce Ventures, Titanium Ventures",United States,California,Los Angeles,Internet,Internet Software & Services,Networking & Connectivity
