Companies,URL,Description,Industry,Latest Funding Round,Latest Funding Date,Total Funding,All Investors,Latest Valuation,Latest Funding Amount,Exit Round,Exit Date,Acquirers,Mosaic (Overall),Date Added,Country,Applications,Text,Speech & audio,Code,Visual media
Outplay,outplayhq.com,"Outplay operates as a sales engagement platform (SEP). It helps sales teams plan, execute, track, measure, and optimize interactions between companies and their prospects across various channels. The company offers multichannel outreach, outbound sales automation, prospect tracking, meeting scheduler, and more services. It was founded in 2019 and is based in Wilmington, Delaware.",Horizontal applications,Series A,2021/07/21,9.3,"Surge, Peak XV Partners",27.36,7.3,,,,420,2023/10/04,United States,Sales email & outreach,x,,,
Lyne.ai,lyne.ai,"Lyne.ai is a company that focuses on AI-powered sales personalization, operating in the sales and marketing technology sector. The company offers services that automate the process of researching accounts and contacts, generating unique insights, and sending personalized cold emails at scale. These services primarily cater to the sales and marketing industry. It was founded in 2021 and is based in Nashville, Tennessee.",Horizontal applications,,,,,,,,,,,2023/10/04,United States,Sales email & outreach,x,,,
rule5 AI,rule5.io,"rule5 AI specializes in generative AI for strategic go-to-market (GTM) initiatives within the sales intelligence domain. The company offers a platform that provides actionable insights and automated deliverables to enhance customer and sales cycles, including personalized communication, account research, and strategic sales asset generation. rule5 AI's services cater to enterprise GTM teams, aiming to transform productivity by leveraging AI-driven research, monitoring, enrichment, and content generation. It was founded in 2021 and is based in Santa Clara, California.",Horizontal applications,,,,,,,,,,,2023/10/04,United States,Sales email & outreach,x,,,
Cquence,cquence.app,"Cquence focuses on automating post-meeting tasks in the sales and customer success sectors. The company's main service involves analyzing meeting data to generate high-quality pipeline data and nurture campaigns, thereby reducing manual work and increasing efficiency. It primarily serves the sales and customer success industries. It was founded in 2019 and is based in New York, New York.",Horizontal applications,Seed VC,2021/05/25,0.1,"Samsung NEXT, Entrepreneurs Roundtable Accelerator, Anorak Ventures, Liquid 2 Ventures",,,,,,330,2023/10/04,United States,Sales email & outreach,x,,,
Clay,clay.com,"Clay specializes in data enrichment and automation solutions. It offers services that combine data from different providers, real-time web scraping, and artificial intelligence to create personalized campaigns that facilitate more business meetings. The company primarily serves sectors that require outbound marketing and lead generation. It was founded in 2017 and is based in Brooklyn, New York.",Horizontal applications,Seed VC,2017/07/07,,"Abstract Ventures, BoxGroup, CSC Upshot Ventures, First Round Capital",,,,,,250,2024/01/17,United States,Sales email & outreach,x,,,
DealPage,dealpage.ai,"DealPage provides artificial intelligence(AI)-powered software built for solutions and sales engineering teams. It specializes in blending the utility, security, and reliability of traditional software with the capabilities of large language models(LLMs) and artificial intelligence. The company was founded in 2023 and is based in New York, New York.",Horizontal applications,Convertible Note,2023/01/01,0.5,Y Combinator,,0.5,,,,430,2024/02/21,United States,Sales email & outreach,x,,,
Vieu,try.vieu.com,"Vieu offers a generative AI to supercharge the sales processes from generation to sales execution. It uses AI in order to generate introductions to companies seeking to sell to an enterprise. Its software scrapes resources such as LinkedIn to identify the key people of influence at the target customer, who are responsible for buying the product or service. The company also provides execution plan for each enterprise pursuit from prospecting to a proposal to procurement. The company was founded in 2022 and is based in Seattle, Washington.",Horizontal applications,Seed,2023/09/13,2,,,2,,,,550,2023/10/12,United States,Sales & customer support,x,,,
Letter AI,letter.ai,"Letter AI provides a revenue enablement platform powered natively by generative artificial intelligence (AI), operating within the domain of sales and marketing technology. The company offers a suite of services including training materials, AI-driven content management, and real-time coaching and assistance for revenue teams. It primarily serves large enterprises and growing teams within the sales and marketing sectors. It was founded in 2023 and is based in Chicago, Illinois.",Horizontal applications,Seed VC,2023/07/01,0.5,"Y Combinator, Pioneer Fund",,,,,,480,2023/10/12,United States,Sales & customer support,x,,,
Nous Research,nousresearch.com,"Nous Research is a private applied research group with a focus on artificial intelligence and machine learning in the technology sector. The company offers services such as the development of artificial intelligence pipelines that can run programs, analyze client documentation, and generate synthetic data, as well as the aggregation and analysis of unstructured topical data in digital attention ecosystems. Its primary customers are businesses across various sectors that require advanced artificial intelligence solutions. It was founded in 2023 and is based in New York, New York.",Generative AI infrastructure,Seed VC,2024/01/10,5.2,"Andreessen Horowitz, Alex Atallah, Balaji Srinivasan, Chris Prucha, Distributed Global, Gavin Uberti, OSS Capital, Sahil Chaudhary, Thibaud Zamora, Vipul Ved Prakash, Yonatan Ben Shimon",,5.2,,,,630,2024/02/16,United States,Research Institute,,,,
Glean,glean.com,"Glean specializes in enterprise artificial intelligence search and knowledge discovery within the technology domain. The company offers a suite of tools that enable businesses to search and analyze their internal data, using generative ai to provide personalized and relevant information. Its solutions cater to various teams including engineering, sales, and support, helping in workplace productivity across the board. The company was founded in 2019 and is based in Palo Alto, California.",Horizontal applications,Incubator/Accelerator,2024/04/04,355.3,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, Slack Fund, General Catalyst, Sequoia Capital, Adams Street Partners, Capital One Ventures, Citi Ventures, Coatue, Databricks Ventures, ICONIQ Growth, Institutional Venture Partners, Weidu Venture Capital, Workday Ventures, Plug and Play Silicon Valley summit",2200,,,,,850,2023/10/04,United States,Productivity & knowledge management. Search,x,,,
Dashworks,dashworks.ai,"Dashworks operates as a search engine platform. It builds a search tool that brings together all of the information from various collaboration tools and databases. The company was founded in 2020 and is based in San Francisco, California.",Horizontal applications,Seed VC - IV,2023/07/11,8.15,"South Park Commons, Y Combinator, The MBA Fund, Unpopular Ventures, Point72 Ventures",18.22,5,,,,530,2023/10/04,United States,Productivity & knowledge management. Search,x,,,
Assistive,assistive.chat,Assistive is a company focused on developing generative AI-powered software. Their first product creates AI generated videos. The company also offers an API for developers to build on top of.,Horizontal applications,,,,,,,,,,,2024/02/16,United States,Productivity & knowledge management. Lip sync & video personalization. Consumer social apps & tools.,x,,,x
Brainbase,usebrainbase.xyz,"Brainbase specializes in artificial intelligence (AI) driven automation for repetitive data tasks. Its main offerings include document processing, form intelligence, and knowledge management solutions that convert unstructured data into structured output. The company primarily serves sectors that require high-volume data handling and analysis, such as staffing and recruitment, customer success, and administrative functions. It was founded in 2023 and is based in San Francisco, California.",Horizontal applications,Convertible Note,2024/01/19,0.5,Y Combinator,,0.5,,,,530,2024/02/08,United States,Productivity & knowledge management. HR tech. Customer support.,x,,,
Hebbia,hebbia.ai,"Hebbia specializes in AI-driven document workflow solutions within the technology sector. The company offers an AI interface that enables users to interact with large language models (LLMs) for collaboration and data analysis across extensive document sets. Hebbia primarily serves large enterprises, financial institutions, governments, and law firms with its AI applications. It was founded in 2020 and is based in New York, New York.",Horizontal applications,Series B,2024/05/14,124.06,"Abstract Ventures, Ann Miura-Ko, Cory Levy, Kevin Hartz, Michael Fertik, Naval Ravikant, Peter Thiel, Index Ventures, Jerry Yang, Radical Ventures, Raquel Urtasun",113.79,92.96,,,,760,2023/10/04,United States,Productivity & knowledge management,x,,,
Maya AI,meetmaya.world,"Maya AI is a personalized AI solution designed to enhance team performance and improve customer experience within various business sectors. The company offers services such as real-time data insights, predictive strategic planning, and AI-driven adaptive training to facilitate better decision-making and operational efficiency. Maya AI primarily serves sectors such as retail, finance, healthcare, pharmacy, and technology. Maya AI was formerly known as XiByte. It was founded in 2017 and is based in Tampa, Florida.",Horizontal applications,Seed,2023/09/13,0.12,"TechDiversity, Techstars Physical Health Fort Worth Accelerator",,0.12,,,,470,2023/10/04,United States,Productivity & knowledge management,x,,,
Mem,mem.ai,"Mem operates as an artificial intelligence (AI) knowledge assistant. The company offers services that use artificial intelligence to organize the team's work, including meeting notes, projects, and knowledge bases, making them searchable and discoverable. It was formerly known as Supernote. It was founded in 2019 and is based in Los Altos, California.",Horizontal applications,Series A,2022/11/10,34.5,"Floodgate, Unusual Ventures, Andreessen Horowitz, Firestreak, OpenAI Startup Fund",110,23.5,,,,780,2023/10/04,United States,Productivity & knowledge management,x,,,
Wild Moose,wildmoose.ai,"Wild Moose specializes in AI-powered debugging solutions for on-call developers within the software development industry. The company offers a conversational AI interface that processes observability data to provide rapid issue resolution and actionable insights, enabling developers to identify and fix production incidents efficiently. Wild Moose's services facilitate real-time collaboration among development teams, integrating with tools like Slack and Datadog to streamline incident response workflows. It was founded in 2022 and is based in San Francisco, California.",Horizontal applications,Convertible Note,2023/02/15,0.5,"Pioneer Fund, Y Combinator",,0.5,,,,460,2023/10/04,United States,Productivity & knowledge management,,,x,
Boundary,boundaryml.com,"Boundary operates as a company focusing on developing tools for generative artificial intelligence (AI) within the artificial intelligence industry. The company's main offerings include a comprehensive platform for building, observing, and analyzing AI applications, particularly a new programming language for creating applications. Boundary was formerly known as Gloo. It was founded in 2023 and is based in Seattle, Washington.",Horizontal applications,Convertible Note,2023/01/01,0.5,"Soma Capital, Y Combinator",,0.5,,,,450,2023/10/04,United States,Productivity & knowledge management,x,,,
Got It AI,got-it.ai,"Got It AI specializes in conversational AI within the enterprise technology sector, focusing on the development and deployment of generative AI with safety measures. The company offers AI-driven solutions for customer service and sales operations, including knowledge retrieval, process guidance, and response verification. Got It AI primarily serves industries such as financial services, insurance, and consumer product manufacturing, enhancing customer experience and sales operations with their AI technology. It was founded in 2018 and is based in Burlingame, California.",Horizontal applications,,,,,,,,,,400,2023/10/04,United States,Productivity & knowledge management,x,,,
Orby AI,orby.ai,"Orby AI specializes in generative artificial intelligence-powered automation within the enterprise software industry. The company offers a platform that automates repetitive back-office processes by identifying opportunities for automation and enabling activation of its solutions. It primarily serves sectors that involve complex data and task management, such as finance, accounting, and legal operations. The company was founded in 2022 and is based in Mountain View, California.",Horizontal applications,Incubator/Accelerator - II,2024/04/19,4.5,"New Enterprise Associates, Pear VC, Wing Venture Capital, Plug and Play Silicon Valley summit, Google Cloud Next",,,,,,590,2023/10/04,United States,Productivity & knowledge management,x,,,
Floworks,floworks.ai,"Floworks provides a natural language interface on conversation apps like Slack, Teams and Gmail for users to connect with their work applications like CRMs, ERPs, project management tools, emails and calendars. The company tracks, analyzes, and automates all operations over social media. Its product, Flowy is powered by a generative AI model accessible through Slack which allows users to interact with popular software-as-a-service platforms such as Salesforce using natural language commands. The company was founded in 2021 and is based in Lewes, Delaware.",Horizontal applications,Seed VC,2023/08/31,2.08,"Entrepreneur First, Y Combinator, Gaingels, Sense AI, ThinKuvate",,1.5,,,,520,2023/10/12,United States,Productivity & knowledge management,x,,,
Mano,usemano.com,"Mano is a Chrome extension. It allows users to use large language models such as chatGPT directly in the browser. It also offers expert agents and many more features. It was founded in 2023 and is based in New York, New York.",Horizontal applications,Seed VC,2023/07/01,,"Pioneer Fund, Y Combinator",,,,,,200,2023/11/03,United States,Productivity & knowledge management,x,,,
Pano,pano.co,"Pano provides a generative AI platform that helps businesses add a language-based interface to their existing software products. It offers automatic software configuration solutions for various use cases. It was founded in 2023 and is based in Seattle, Washington.",Horizontal applications,Unattributed,2023/11/20,5.26,,,5.26,,,,650,2024/01/02,United States,Productivity & knowledge management,x,,,
Rohirrim,rohirrim.ai,"Rohirrim focuses on generative artificial intelligence (AI) for the enterprise domain. The company's main service is a platform that uses domain-aware generative AI to securely proprietary enterprise data to create technical content. Its content can be used for a variety of purposes, including drafting proposals, grants, and white papers. The company was founded in 2022 and is based in Saint Paul, Minnesota.",Horizontal applications,Series A,2023/12/04,17.5,"General Purpose Venture Capital, Insight Partners",58.81,15,,,,730,2024/01/02,United States,Productivity & knowledge management,x,,,
PairUp,pairupapp.com,"PairUp is a digital platform focused on eliminating inefficiencies in the workplace, operating in the business-to-business software industry. The company offers software that uses generative AI to save companies time and resources by improving knowledge sharing and workplace silos, providing employees personalized access to the information they need for their roles. The company was founded in 2021 and is based in Chicago, Illinois.",Horizontal applications,Convertible Note,2023/10/13,2.65,"Lofty Ventures, Honeystone Ventures, Looking Glass Capital, Launch Lab X GEO, Harvard Alumni Entrepreneurs Accelerator, Graham & Walker, Hearst Ventures, Marin Sonoma Impact Ventures",8,1.1,,,,550,2024/01/02,United States,Productivity & knowledge management,x,,,
Vianai Systems,vian.ai,"Vianai Systems operates as a company that focuses on artificial intelligence (AI) in the software industry. The company offers AI-based solutions that enable businesses to uncover insights in their enterprise systems using natural language, and to build machine learning applications. Vianai Systems primarily serves the software industry. It was founded in 2019 and is based in Palo Alto, California.",Horizontal applications,Series B,2021/06/16,190,"George Roberts, Henry Kravis, Jerry Yang, Jim Davidson, SoftBank",,140,,,,680,2024/01/25,United States,Productivity & knowledge management,x,,,
OpenCopilot,opencopilot.so,"OpenCopilot specializes in artificial intelligence (AI) driven user assistance and workflow automation for software-as-a-service (SaaS) products. The company provides a platform that integrates text and voice AI user assistants into products, enabling users to interact and execute tasks through natural language commands. OpenCopilot primarily serves the SaaS industry, offering solutions that enhance user experience and operational efficiency. It was founded in 2023 and is based in Middletown, Delaware.",Horizontal applications,Convertible Note,2024/01/19,0.5,"Propeller, Y Combinator",,0.5,,,,530,2024/02/08,United States,Productivity & knowledge management,x,,,
Buster,buster.so,"Buster is an artificial intelligence (AI) powered analytics company specializing in integrating data query and visualization capabilities into web applications. The company offers a platform that allows end users to interact with their data through natural language queries, create visual insights, and construct custom dashboards without the need for specialized technical skills. Buster primarily serves the software as a service (SaaS) sector, enabling other businesses to enhance their web applications with advanced data analytics features. It was founded in 2022 and is based in Provo, Utah.",Horizontal applications,Convertible Note,2024/04/04,0.5,Y Combinator,,0.5,,,,530,2024/02/08,United States,Productivity & knowledge management,x,,,x
Lumina,lumina-chat.com,"Lumina operates as an artificial intelligence (AI) powered search engine focusing on academic research. It constructs answers by extracting relevant text, images, and tables from a vast database of over 200 million journal articles. The company primarily serves the research community by facilitating access to scholarly materials. It was founded in 2023 and is based in San Francisco, California.",Horizontal applications,Convertible Note,2024/01/19,0.5,Y Combinator,,0.5,,,,420,2024/02/08,United States,Productivity & knowledge management,x,,,
Upsolve,upsolve.ai,"Upsolve specializes in providing turnkey customer-facing analytics solutions. The company offers artificial intelligence (AI) powered tools that enable businesses to embed analytics dashboards for their customers, facilitating data-driven decision-making without the need for extensive engineering resources. Upsolve's products are primarily utilized by companies in the e-commerce sales and marketing sectors. It was founded in 2023 and is based in Dover, Delaware.",Horizontal applications,Convertible Note,2024/01/19,0.5,Y Combinator,,0.5,,,,530,2024/02/08,United States,Productivity & knowledge management,x,,,
Danswer,danswer.ai,"Danswer operates as an AI-based search engine. The company provides a search engine that can find information across a company's documents, applications, and personnel. Its service is primarily used in the tech industry. Danswer was founded in 2023 and is based in San Francisco, California.",Horizontal applications,Convertible Note,2024/01/19,0.5,Y Combinator,,0.5,,,,420,2024/02/08,United States,Productivity & knowledge management,x,,,
ZBrain,zbrain.ai,"ZBrain focuses on data communication and artificial intelligence in the technology sector. The company offers a platform that allows businesses to unlock the full potential of their data using AI, enabling them to import data from various sources and use large language models to make informed decisions, gain deeper insights, and boost productivity. ZBrain primarily sells to a wide range of sectors, including automotive, customer support, cyber security, education, finance, and more. It was founded in 2023 and is based in San Francisco, California.",Horizontal applications,,,,,,,,,,,2024/02/21,United States,Productivity & knowledge management,,,,
Swirl,swirl.today,"Swirl is an open-source enterprise that operates in the search and AI industries. The company offers a search tool that simultaneously searches multiple enterprise applications, using AI and large language models to optimize results. It primarily serves the data science and machine learning sectors. It was founded in 2022 and is based in Waltham, Massachusetts.",Horizontal applications,,,,,,,,,,,2024/02/21,United States,Productivity & knowledge management,,,,
Kay,kay.ai,"Kay specializes in providing data API services for large language models (LLMs) within the technology sector. The company offers a platform that curates and maintains high-quality datasets, generates embeddings, and optimizes data retrieval processes for LLM applications. Kay's services are primarily utilized in industries such as investing, sales, marketing, and journalism. It was founded in 2023 and is based in New York, New York.",Horizontal applications,,,,,,,,,,,2024/02/21,United States,Productivity & knowledge management,,,,
Kinetica,kinetica.com,"Kinetica focuses on providing real-time generative artificial intelligence (AI) analytic database solutions, specifically designed for time-series and spatial data, in the technology sector. The company's main services include offering a database platform that uses generative AI and vectorized processing to analyze sensor and machine data. The company primarily serves sectors such as the automotive industry, energy sector, financial services, logistics, public sector, telecommunications, and utilities. Kinetica was formerly known as GPUdb. It was founded in 2016 and is based in Arlington, Virginia.",Horizontal applications,Incubator/Accelerator,2020/09/17,77.4,"NVIDIA Inception Program, Ray Lane, Canvas Ventures, Citi Ventures, GreatPoint Ventures, Meritech Capital Partners, Plug and Play Fintech Accelerator",127.91,,,,,560,2024/02/21,United States,Productivity & knowledge management,,,,
Kognitos,kognitos.com,"Kognitos develops an artificial intelligence (AI) platform that helps organizations with business processes. The company offers products such as language processing automation (NLPA) and Large language models (LLMs) to help business users in analyzing everyday workflows. Kognitos was founded in 2020 and is based in San Jose, California.",Horizontal applications,Series A - II,2024/05/08,28.97,"Clear Ventures, Engineering Capital, Wipro Ventures, Khosla Ventures",34.21,,,,,740,2024/02/21,United States,Productivity & knowledge management,,,,
Mantium,mantiumai.com,"Mantium focuses on streamlining the initial stages of the AI pipeline within the data preparation sector. It offers automated solutions for cleaning and synchronizing data to ensure it is ready for use. These services cater to the needs of businesses looking to optimize AI data processing workflows. It was founded in 2021 and is based in New Albany, Ohio. Mantium ceased operations in May 2024.",Horizontal applications,Seed VC,2021/08/19,14.5,"Drive Capital, Top Harvest Capital",,14.5,,,,,2024/02/21,United States,Productivity & knowledge management,,,,
SkyPoint Cloud,skypointcloud.com,"SkyPoint Cloud is a company that focuses on providing an AI platform for various industries. The company's main services include unifying data sources to enable the use of generative AI, providing self-service analytics, automating repetitive tasks, and offering personal AI copilots for key business elements. The company primarily serves sectors such as healthcare, senior living, retail, hospitality, and government. It was founded in 2019 and is based in Lake Oswego, Oregon.",Horizontal applications,Unattributed - III,2022/08/30,7.47,,,0.2,,,,500,2024/02/21,United States,Productivity & knowledge management,,,,
boodleAI,boodle.ai,"boodleAI is a company focused on making artificial intelligence technology accessible and easy to use, operating in the AI solutions industry. The company offers collaborative and personalized AI solutions that optimize large language models to predict people's behavior, catering to both nonprofits and businesses. It was founded in 2016 and is based in McLean, Virginia.",Horizontal applications,Seed VC,2020/12/09,3.5,"Nathan J. Howard Trust, Osage Venture Partners, Riverbend Angels",,3.5,,,,320,2024/02/21,United States,Productivity & knowledge management,,,,
Colibri,colibri.ai,"Colibri is a company that focuses on conversation intelligence and sales enablement tools in the artificial intelligence industry. The company offers a range of products that utilize advanced machine learning and generative AI to transcribe calls in real time, automatically generate meeting summaries, analyze key call metrics, and provide just-in-time assistance and coaching to sales and customer service representatives during a meeting. Colibri primarily sells to the sales and customer service sectors, as well as the legal industry. It is based in Palo Alto, California.",Horizontal applications,Seed VC,2020/11/02,,XTX Ventures,,,,,,280,2024/02/21,United States,Productivity & knowledge management,,,,
Humaxa,humaxa.com,"Humaxa is a company that focuses on the use of artificial intelligence in the workplace, operating within the technology and human resources sectors. The company offers a digital assistant that uses generative AI to predict and suggest activities to enhance on-the-job performance, and to automate various tasks such as employee assistance, regulatory impact analysis, corrective action prediction, standard location for design engineers, and real-time custom market data finding. Humaxa primarily serves sectors such as automotive manufacturing, financial institutions, and human resources organizations. It was founded in 2017 and is based in Shingle Springs, California.",Horizontal applications,Incubator/Accelerator - II,2020/09/17,,"Fourth Wave, 500 Kobe Accelerator",,,,,,240,2024/02/22,United States,Productivity & knowledge management,,,,
OneReach,onereach.ai,"OneReach is a company that focuses on artificial intelligence (AI) in the technology sector. The company offers a platform that uses generative AI to create conversational experiences at an enterprise scale. This platform allows for the automation of routine conversations and tasks, such as answering calls, automating voice conversations, and updating information in databases. It is based in Golden, Colorado.",Horizontal applications,Private Equity,2022/01/26,,LoneTree Capital,,,,,,320,2024/02/22,United States,Productivity & knowledge management,,,,
Nixtla,nixtla.io,"Nixtla develops a forecasting software for data scientists and developers. It provides data scientists with statistical and deep learning algorithms for time series analysis like demand forecasting, anomaly detection, Internet of Things (IoT), predictive maintenance, peak avoidance, and many more. It serves clients operating in the technology sector. The company was founded in 2021 and is based in Brooklyn, New York.",Horizontal applications,Unattributed VC,2023/12/05,6.64,"Google for Startups Accelerator: Latin Founders, Techstars Montreal AI Accelerator, Latitud Ventures, Google for Startups Accelerator, AWS Generative AI Accelerator, M12",2.99,,,,,630,2023/10/12,United States,Predictive analytics,x,,,
alpaca,getalpaca.io,"Alpaca is a company that focuses on the intersection of artificial intelligence and art, operating within the technology and creative industries. The company offers a suite of AI tools designed to assist artists in their creative process, enabling them to generate images, refine concepts, and experiment with style and composition. Alpaca primarily serves the creative industry, particularly artists and designers. It is based in California, United States.",Horizontal applications,,,,,,,,,,,2023/10/04,United States,Photo & video editing tools,,,,x
Let's Enhance,letsenhance.io,"Let's Enhance is a machine-learning solution for visual content. It offers neural networks to automatically remove noise from JPEGs, upscale 4x, and add missing details to make images look natural. It was founded in 2017 and is based in San Francisco, California.",Horizontal applications,Seed VC,2021/10/27,3.12,"500 Global, Techstars London Accelerator, Startup Grind, Acrobator Ventures, Chamaeleon, Hype Ventures, Margo Georgiadis",10.92,3,,,,390,2023/10/04,United States,Photo & video editing tools,,,,x
Runway,runwayml.com,"Runway is an applied AI research company that focuses on advancing creativity within the art and entertainment sectors. The company offers a suite of creative tools powered by multimodal AI systems that facilitate the generation and manipulation of audiovisual content, making it accessible and empowering for storytellers and creatives. Runway primarily sells to the creative industry, offering solutions that enhance the capabilities of filmmakers, artists, and content creators. It was founded in 2018 and is based in New York, New York.",Horizontal applications,Series C - II,2023/05/04,236.5,"Amplify Partners, Compound, Lux Capital, Caryn Marooney, David Cahn, Coatue, Felicis, Madrona Venture Group, Google, NVIDIA, Salesforce Ventures",1500,141,,,,920,2023/10/04,United States,Photo & video editing tools,,,,x
Facet,facet.ai,"Facet is a company that focuses on artificial intelligence and operates in the image generation and editing industry. The company offers a generative imagery tool that assists creative professionals in generating and editing images, with features such as custom model training, automatic prompt variations, and collaborative canvases. Facet primarily serves the creative and professional photography sectors. It was founded in 2017 and is based in San Francisco, California.",Horizontal applications,Series A,2021/11/17,13,"AIX Ventures, Accel, Basis Set, Slow Ventures, South Park Commons, Two Sigma Ventures",,13,,,,580,2023/10/04,United States,Photo & video editing tools,,,,x
Topaz Labs,topazlabs.com,"Topaz Labs is a company that specializes in AI image quality software, operating in the technology and software industry. The company offers photo and video enhancement software that utilizes artificial intelligence to improve image quality, including features such as noise reduction, sharpening, and upscaling. Topaz Labs primarily serves the creative industry, with a focus on professionals in photography and video editing. It was founded in 2006 and is based in Addison, Texas.",Horizontal applications,,,,,,,,,,490,2023/10/04,United States,Photo & video editing tools,,,,x
Wonder Dynamics,wonderdynamics.com,"Wonder Dynamics focuses on the film and entertainment industry. The company offers an artificial intelligence (AI) tool that automates the animation, lighting, and characters into live-action scenes, simplifying the process of visual effects production. Its primary customers are independent filmmakers looking to deliver visual effects on a budget. It was formerly known as Aether. It was founded in 2017 and is based in West Hollywood, California. In May 2024, Wonder Dynamics was acquired by Autodesk.",Horizontal applications,Series A,2021/12/08,12.5,"Capital Factory, Cyan Banister, Founders Fund, MaC Venture Capital, Realize Tech Fund, Robert Schwab, Epic Games, Horizon Ventures, Samsung NEXT, Autodesk",35.41,10,Acquired,2024/05/21,Autodesk,,2023/10/04,United States,Photo & video editing tools,,,,x
Terra,welcometerra.com,"Terra provides storyboard templates that allow users to plug in their own content to create videos. The company was founded in 2021 and is based in New York, New York.",Horizontal applications,Pre-Seed,2022/05/05,0.2,Antler,,0.2,,,,380,2023/10/04,United States,Photo & video editing tools,,,,x
Compose AI,compose.ai,"Compose AI is a technology company focused on the artificial intelligence sector. The company offers a Chrome extension that uses AI to automate and accelerate the writing process, providing services such as autocompletion, text generation, and sentence rephrasing. It primarily serves individuals and businesses that require frequent and extensive writing tasks. It was founded in 2020 and is based in San Francisco, California.",Horizontal applications,Seed VC - II,2023/03/14,2.23,"Y Combinator, Craft Ventures, Goodwater Capital",,,,,,450,2023/10/04,United States,Personal writing & storytelling. Consumer social apps & tools.,x,,,
HyperWrite,hyperwriteai.com,"HyperWrite provides a writing assistant and content creation platform. The company's platform allows users to create and share its artificial intelligence-powered tools and workflows for website-based tasks and also personalizes and contextualizes content for each user. It primarily serves the content management industry. The company was founded in 2020 and is based in New York, New York.",Horizontal applications,Seed VC - II,2023/03/09,5.4,"Active Capital, Chapter One, Hustle Fund, Madrona Venture Group, Aidan Gomez, Cortical Ventures, Furqan Rydhan, Ivan Zhang, Nick Frosst, Siqi Chen",11.77,2.8,,,,640,2023/10/04,United States,Personal writing & storytelling. Consumer social apps & tools.,x,,,
Sudowrite,sudowrite.com,"Sudowrite is an artificial intelligence company operating in the writing tools industry. The company offers a tool that aids in writing novels or screenplays.  It was founded in 2020 and is based in Los Angeles, California.",Horizontal applications,,,,"Human Ventures, Hyphen Capital",,,,,,710,2023/10/04,United States,Personal writing & storytelling. Consumer social apps & tools.,x,,,
Oasis,theoasis.com,"Oasis focuses on the development of artificial intelligence (AI) technology, specifically in the domain of remote work solutions. The company offers a cross-platform application that allows users to create and control photorealistic artificial intelligence avatars for use in various video conferencing platforms. Its avatars can mimic user expressions in real-time and even simulate attentiveness during meetings. It primarily serves the technology industry. The company was founded in 2019 and is based in Redwood City, California.",Horizontal applications,Seed VC - IV,2023/07/01,10.5,"Hustle Fund, Flybridge Capital Partners, Cyan Banister, Founders Fund, Naval Ravikant, Remote First Capital, Rogue Capital Partners, Singularity Capital, Wasabi Ventures Partners",10,4,,,,600,2023/10/04,United States,Personal writing & storytelling. Consumer social apps & tools.,,,,x
Replika,replika.ai,"Replika is a company that focuses on artificial intelligence in the mental health and online therapy sectors. The company offers an AI companion that learns from user interactions to provide empathetic and personalized conversations, acting as a friend, partner, or mentor. This service is primarily used by individuals seeking emotional support and companionship. It was founded in 2015 and is based in San Francisco, California.",Horizontal applications,Series A - II,2017/11/30,11.04,"AIX Ventures, Y Combinator, Justin Waldron, Ludlow Ventures, Sherpa Capital, All Turtles, Khosla Ventures, Phil Libin, Richard Socher",9.92,6.5,,,,470,2023/10/04,United States,Open dialogue agents,x,,,
Chai,chai-research.com,"Chai enables content creators to create AI experiences by building and deploying an AI chat box to users. The app is a messaging platform that allows users to make friends, chat, and engage with chat bots. The company was founded in 2021 and is based in Newark, California.",Horizontal applications,Seed,2023/09/01,10,CoreWeave,,8,,,,620,2023/10/04,United States,Open dialogue agents,x,,,
QuickChat,quickchat.io,"QuickChat provides video chat in the browser. It was founded in 2013 and is based in Mountain View, California.",Horizontal applications,,,,,,,,,,,2023/10/04,United States,Open dialogue agents,x,,,
Soundful,soundful.com,"Soundful is an AI Music Generator platform operating in the music and technology sectors. The company provides a service that allows users to generate unique, royalty-free background music for various uses such as videos, streams, and podcasts. Its primary customers include content creators, music artists, and brands. It was founded in 2019 and is based in San Diego, California.",Horizontal applications,Debt,2022/06/01,7.52,,,3.72,,,,590,2023/10/04,United States,Music generation,,x,,
Mubert,mubert.com,"Mubert specializes in music licensing. The company offers AI-powered, real-time generative music services, allowing users to create custom soundtracks for their content, such as videos, podcasts, and applications. It also provides a platform for artists to earn money by contributing tracks, samples, and loops. It was founded in 2016 and is based in Dover, Delaware.",Horizontal applications,Biz Plan Competition,2023/10/16,,ADE & Antler Startup Competition,,,,,,540,2023/10/04,United States,Music generation,,x,,
Boomy,boomy.com,"Boomy uses music automation technology integrated with artificial intelligence that enables users to create and save original songs. The created songs can be distributed and used throughout major streaming platforms and creators can earn a share of the royalties. The company was founded in 2018 and is based in Berkeley, California.",Horizontal applications,Series A,2023/06/24,21.6,"Boost VC, Scrum Ventures, Inertia Ventures, Betaworks Ventures, Founders Fund, Lerer Hippeau, Union Square Ventures",,20,,,,760,2023/10/04,United States,Music generation,,x,,
Aimi,aimi.fm,"Aimi is an app that delivers a dynamic, uninterrupted, and an endless flow of music powered by AI and personalized for the user. It was founded in 2018 and is based in California, United States.",Horizontal applications,Series B,2021/11/19,20,"Endanik, Ethos, Randall Mays, Founders Fund, Great Mountain Partners",69.53,20,,,,510,2023/10/04,United States,Music generation,,x,,
